"5,\"Dedicated Server\",\"unknown\""
"7,\"Steam Client\",\"released\""
"8,\"winui2\",\"unknown\""
"10,\"Counter-Strike\",\"unknown\""
"20,\"Team Fortress Classic\",\"unknown\""
"30,\"Day of Defeat\",\"unknown\""
"40,\"Deathmatch Classic\",\"unknown\""
"50,\"Half-Life: Opposing Force\",\"unknown\""
"60,\"Ricochet\",\"unknown\""
"70,\"Half-Life\",\"unknown\""
"80,\"Counter-Strike: Condition Zero\",\"unknown\""
"90,\"Half-Life Dedicated Server\",\"released\""
"92,\"Codename Gordon\",\"unknown\""
"100,\"Counter-Strike: Condition Zero Deleted Scenes\",\"unknown\""
"130,\"Half-Life: Blue Shift\",\"unknown\""
"150,\"Counter-Strike Steamworks Beta\",\"unknown\""
"205,\"Source Dedicated Server\",\"released\""
"210,\"Source Dedicated Server\",\"unknown\""
"211,\"Source SDK\",\"unknown\""
"215,\"Source SDK Base 2006\",\"released\""
"218,\"Source SDK Base 2007\",\"released\""
"219,\"Half-Life 2: Demo\",\"unknown\""
"220,\"Half-Life 2\",\"unknown\""
"240,\"Counter-Strike: Source\",\"unknown\""
"260,\"Counter-Strike: Source Beta\",\"unknown\""
"280,\"Half-Life: Source\",\"unknown\""
"300,\"Day of Defeat: Source\",\"unknown\""
"304,\"Day of Defeat: Source Press Review\",\"unknown\""
"310,\"Source 2007 Dedicated Server\",\"released\""
"320,\"Half-Life 2: Deathmatch\",\"unknown\""
"340,\"Half-Life 2: Lost Coast\",\"unknown\""
"360,\"Half-Life Deathmatch: Source\",\"unknown\""
"364,\"HL1:MP Linux client\",\"unknown\""
"380,\"Half-Life 2: Episode One\",\"unknown\""
"400,\"Portal\",\"unknown\""
"410,\"Portal: First Slice\",\"unknown\""
"420,\"Half-Life 2: Episode Two\",\"unknown\""
"440,\"Team Fortress 2\",\"released\""
"456,\"Team Fortress 2 - Summer 2012 Community Bundle DLC\",\"unknown\""
"457,\"Team Fortress 2 - Summer 2012 Sale Bundle DLC\",\"unknown\""
"458,\"Team Fortress 2 - Summer 2011 DLC\",\"unknown\""
"459,\"Team Fortress 2 - Premium DLC\",\"unknown\""
"480,\"Spacewar\",\"released\""
"500,\"Left 4 Dead\",\"unknown\""
"510,\"Left 4 Dead Dedicated Server\",\"unknown\""
"513,\"Left 4 Dead Authoring Tools\",\"unknown\""
"520,\"Team Fortress 2 Beta\",\"unknown\""
"530,\"Left 4 Dead Demo\",\"unknown\""
"540,\"Left 4 Dead Demo Dedicated Server\",\"unknown\""
"550,\"Left 4 Dead 2\",\"unknown\""
"560,\"Left 4 Dead 2 Dedicated Server\",\"unknown\""
"563,\"Left 4 Dead 2 Authoring Tools\",\"unknown\""
"564,\"Left 4 Dead 2 Add-on Support\",\"unknown\""
"565,\"Left 4 Dead 2 Preorder DLC\",\"unknown\""
"570,\"Dota 2\",\"released\""
"575,\"Dota 2 - English Depot\",\"released\""
"576,\"Dota 2 - SteelSeries DLC \",\"unknown\""
"581,\"Dota 2 - Murrissey the Smeevil\",\"unknown\""
"582,\"Dota 2 - Lockjaw the Boxhound\",\"unknown\""
"583,\"Dota 2 - Drodo the Druffin\",\"unknown\""
"584,\"Dota 2 - Inflatable Donkey Courier\",\"unknown\""
"585,\"Dota 2 - Plush Donkey Courier\",\"unknown\""
"586,\"Dota 2 - International Axe\",\"unknown\""
"590,\"Left 4 Dead 2 Demo\",\"unknown\""
"620,\"Portal 2\",\"unknown\""
"629,\"Portal 2 Authoring Tools - Beta\",\"unknown\""
"630,\"Alien Swarm\",\"unknown\""
"635,\"Alien Swarm Dedicated Server\",\"unknown\""
"640,\"Alien Swarm - SDK\",\"unknown\""
"644,\"Portal 2 Publishing Tool\",\"unknown\""
"650,\"Portal 2 - Gamestop PS3 DLC\",\"unknown\""
"651,\"Portal 2 - Bot Paint Job DLC\",\"unknown\""
"652,\"Portal 2 - Bot Roll Cage DLC\",\"unknown\""
"653,\"Portal 2 - Bot Antenna Topper DLC\",\"unknown\""
"654,\"Portal 2 - Summer 2011 DLC\",\"unknown\""
"659,\"Portal 2 - Pre-order\",\"unknown\""
"660,\"Portal 2 Sixense MotionPack\",\"unknown\""
"669,\"Portal 2 - Sixense Motion Preorder\",\"unknown\""
